Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Nova Bréscia,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Nova Esperança Do Sul,Todas,9º ano,Matemática,31,90.31999999999999,31.25,65.01000000000001,3.74,0,3.74,-3.83
Nova Hartz,Todas,9º ano,Matemática,223,79.81999999999999,14.48,66.56,17.15,1.81,18.96,2.25
Nova Pádua,Todas,9º ano,Matemática,43,79.06999999999999,34.35,54.02,11.63,0,11.63,-15.65
Nova Palma,Todas,9º ano,Matemática,53,90.56999999999999,20.75,62.57,14.59,2.09,16.68,-16.65
Nova Petrópolis,Todas,9º ano,Matemática,98,90.81999999999999,9.19,44.27,36.62,9.92,46.54,8.140000000000001
Nova Prata,Todas,9º ano,Matemática,183,91.26000000000001,17.05,65.59999999999999,16.74,0.61,17.35,-8.869999999999999
Nova Ramada,Todas,9º ano,Matemática,22,100,22.73,54.54,22.73,0,22.74,0
Nova Santa Rita,Todas,9º ano,Matemática,277,79.42,15.78,68.13,16.09,0,16.08,7.08
Novo Barreiro,Todas,9º ano,Matemática,40,62.5,37.98,58.43,3.59,0,3.6,-11.48
Novo Cabrais,Todas,9º ano,Matemática,30,70,4.76,66.68000000000001,23.8,4.76,28.56,22.66
Novo Hamburgo,Todas,9º ano,Matemática,1915,76.55,21.21,61.18,15.93,1.68,17.6,3.22
Novo Machado,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Novo Xingu,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Osório,Todas,9º ano,Matemática,333,85.89,17.56,61.13,19.43,1.88,21.31,3.07
Paim Filho,Todas,9º ano,Matemática,50,74,30.38,49.81,19.81,0,19.82,2.17
Palmares Do Sul,Todas,9º ano,Matemática,52,76.92,22.76,68.27,8.970000000000001,0,8.970000000000001,0.19
Palmeira Das Missões,Todas,9º ano,Matemática,177,83.05,38.26,53.66,8.08,0,8.08,-0.87
Palmitinho,Todas,9º ano,Matemática,31,64.52,19.85,48.53,31.62,0,31.6,16.92
Panambi,Todas,9º ano,Matemática,339,89.68000000000001,14.69,63,21.98,0.33,22.31,2.2
Pantano Grande,Todas,9º ano,Matemática,80,80,18.18,77.34999999999999,4.47,0,4.47,-2.87
Paraí,Todas,9º ano,Matemática,45,86.67,10.3,59.65,27.61,2.44,30.05,17.69
Pareci Novo,Todas,9º ano,Matemática,20,100,5,54.99,40.01,0,39.99,-4.99
Parobé,Todas,9º ano,Matemática,316,81.65000000000001,16.4,62.03,20.78,0.79,21.57,5.16
Passa Sete,Todas,9º ano,Matemática,34,76.47,23.08,76.92,0,0,0,-4.17
Passo Do Sobrado,Todas,9º ano,Matemática,20,100,5,65,25.01,4.99,30,10.02
