"Questao";"Opcao";"Proficiencia";"Porcentagem"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Menos de 1 hora.";"Insuficiente";"0.179487179487179"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Menos de 1 hora.";"Basico";"0.153846153846154"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Menos de 1 hora.";"Proficiente";"0.0610079575596817"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Menos de 1 hora.";"Avançado";"0.0447761194029851"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Entre 1 e 2 horas.";"Insuficiente";"0.230769230769231"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Entre 1 e 2 horas.";"Basico";"0.187692307692308"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Entre 1 e 2 horas.";"Proficiente";"0.212201591511936"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Entre 1 e 2 horas.";"Avançado";"0.186567164179104"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 2 horas, até 3 horas.";"Insuficiente";"0.153846153846154"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 2 horas, até 3 horas.";"Basico";"0.184615384615385"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 2 horas, até 3 horas.";"Proficiente";"0.230769230769231"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 2 horas, até 3 horas.";"Avançado";"0.201492537313433"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 3 horas.";"Insuficiente";"0.435897435897436"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 3 horas.";"Basico";"0.430769230769231"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 3 horas.";"Proficiente";"0.469496021220159"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 3 horas.";"Avançado";"0.544776119402985"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Não vejo TV, não navego na internet e não jogo jogos eletrônicos.";"Insuficiente";"0"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Não vejo TV, não navego na internet e não jogo jogos eletrônicos.";"Basico";"0.0276923076923077"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Não vejo TV, não navego na internet e não jogo jogos eletrônicos.";"Proficiente";"0.00795755968169761"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Não vejo TV, não navego na internet e não jogo jogos eletrônicos.";"Avançado";"0.00746268656716418"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"NI";"Insuficiente";"0"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"NI";"Basico";"0.0153846153846154"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"NI";"Proficiente";"0.0185676392572944"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"NI";"Avançado";"0.0149253731343284"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Menos de 1 hora.";"Insuficiente";"0.205128205128205"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Menos de 1 hora.";"Basico";"0.276923076923077"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Menos de 1 hora.";"Proficiente";"0.259946949602122"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Menos de 1 hora.";"Avançado";"0.440298507462687"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Entre 1 e 2 horas.";"Insuficiente";"0.487179487179487"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Entre 1 e 2 horas.";"Basico";"0.341538461538462"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Entre 1 e 2 horas.";"Proficiente";"0.36604774535809"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Entre 1 e 2 horas.";"Avançado";"0.298507462686567"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 2 horas, até 3 horas.";"Insuficiente";"0.0769230769230769"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 2 horas, até 3 horas.";"Basico";"0.116923076923077"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 2 horas, até 3 horas.";"Proficiente";"0.103448275862069"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 2 horas, até 3 horas.";"Avançado";"0.082089552238806"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 3 horas.";"Insuficiente";"0.0512820512820513"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 3 horas.";"Basico";"0.132307692307692"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 3 horas.";"Proficiente";"0.111405835543767"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 3 horas.";"Avançado";"0.0671641791044776"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Não faço trabalhos domésticos.";"Insuficiente";"0.179487179487179"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Não faço trabalhos domésticos.";"Basico";"0.110769230769231"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Não faço trabalhos domésticos.";"Proficiente";"0.145888594164456"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Não faço trabalhos domésticos.";"Avançado";"0.0970149253731343"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"NI";"Insuficiente";"0"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"NI";"Basico";"0.0215384615384615"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"NI";"Proficiente";"0.013262599469496"
